s_id,company_name,phone,adress,supplier_metadata
148,Brightdog,659-701-4639,16 Hauk Lane,
149,Jabbersphere,493-487-5555,3501 Spohn Parkway,
150,Linklinks,226-206-5350,9 Forest Run Terrace,
151,Ailane,967-903-8085,25945 Pennsylvania Lane,
152,Shufflester,124-965-7162,1328 Jenna Street,
153,Devcast,730-959-6566,,
154,Twiyo,283-803-6928,927 4th Center,
155,Babblestorm,947-286-0665,767 Mandrake Junction,
156,Vinte,150-235-5108,4 Nobel Plaza,
157,Realmix,882-534-7626,38496 Orin Terrace,
158,Centizu,552-287-4559,1357 Union Road,
159,Livepath,182-276-5154,,
160,Ailane,775-421-7903,55275 School Alley,
161,Vipe,808-551-4807,7036 Hallows Parkway,
162,Wikizz,975-361-0872,,
163,Trunyx,503-833-7673,4793 Westerfield Point,
164,Riffpath,783-943-9490,26692 Warrior Alley,
165,Teklist,640-479-3548,032 Waywood Point,
166,Quaxo,605-393-0626,80736 Prairie Rose Pass,
167,Realbridge,573-874-4905,,
168,Wikivu,720-825-5506,81 Independence Point,
169,Thoughtblab,620-284-6283,9 Prairieview Pass,
170,Dynazzy,983-678-7088,06 Monterey Point,
171,Aimbu,577-126-5557,09248 Lotheville Center,
172,Twimm,404-137-9475,08 Walton Center,
173,Skivee,728-579-0149,5 American Junction,
174,Oodoo,859-166-1739,0955 Sutteridge Pass,
175,Realcube,593-819-4318,772 Carey Plaza,
176,Linkbridge,307-870-9278,,
177,Yadel,430-960-5747,2203 Oak Point,
178,Dabshots,637-950-9498,6935 Straubel Junction,
179,Trupe,360-461-7649,8522 Bellgrove Lane,
180,Flipbug,253-864-2136,6323 Canary Junction,
181,Edgetag,343-402-6544,33911 Del Mar Hill,
182,Cogibox,597-790-5847,428 Autumn Leaf Way,
183,Twitterlist,860-764-6875,43 Eagan Way,
184,Voolia,561-158-0084,57 Jana Pass,
185,Zoonoodle,300-557-2999,28 Autumn Leaf Hill,
186,Linktype,675-941-2120,74 Elmside Junction,
187,Yotz,959-462-1098,275 Kingsford Junction,
188,Browsedrive,591-195-3931,67 Maywood Pass,
189,Rhyloo,687-430-5827,0851 Oak Valley Point,
190,Vinte,467-583-9934,,
191,Ailane,925-268-6409,,
192,Wikizz,864-542-7573,5714 Westport Plaza,
193,Photospace,428-947-2418,06 Hauk Point,
194,Feedbug,393-303-3466,83 Elmside Trail,
195,Mycat,794-860-8409,647 Sherman Place,
196,Ntags,374-367-4511,48975 Aberg Terrace,
197,Fliptune,930-484-0404,388 Nevada Avenue,
198,Ntags,411-401-9491,6872 Merchant Point,
199,Quinu,235-631-9066,04 Charing Cross Pass,
200,Riffpath,751-755-5406,014 Lien Place,
201,Mynte,223-168-6637,,
202,Shuffledrive,300-208-5856,51225 Macpherson Place,
203,Trilith,431-582-7330,38792 5th Park,
204,Kwinu,284-830-8172,5938 Brentwood Drive,
205,Nlounge,606-667-3575,,
206,Meedoo,317-774-1387,497 Ilene Crossing,
207,Voolia,495-817-4541,676 East Way,
208,Wikivu,438-642-5762,,
209,Myworks,719-771-8900,8 Stone Corner Trail,
210,Skilith,970-205-3776,5 Eggendart Road,
211,Skinder,191-580-0132,892 Mandrake Way,
212,Eare,326-768-5385,917 Darwin Parkway,
213,Aimbu,746-717-9068,4931 Comanche Junction,
214,Realbridge,787-536-6606,06214 Hoepker Pass,
215,Vitz,799-401-7310,,
216,Realmix,657-744-2359,30 Dottie Trail,
217,Realmix,526-291-0167,,
218,Dazzlesphere,378-744-3216,05226 Hagan Street,
219,Tagchat,818-714-5837,,
220,Oyoloo,659-302-9620,5 Jackson Place,
221,Quinu,972-664-9560,889 Armistice Terrace,
222,Kare,499-468-6963,517 Golf Course Circle,
223,Linkbridge,995-317-0540,880 Vermont Road,
224,Innojam,310-436-8556,37373 6th Hill,
225,Dynava,367-778-7802,073 Nova Court,
226,Livetube,554-718-5173,216 Gina Circle,
227,Fivebridge,734-176-7599,9 Bunker Hill Crossing,
228,Gabtype,448-952-3038,5 Leroy Terrace,
229,Cogilith,315-170-5344,3366 Maryland Circle,
230,Oyoloo,262-756-0331,91989 Laurel Lane,
231,Twinder,186-185-3375,2 Manitowish Parkway,
232,Digitube,116-913-7702,33 Johnson Lane,
233,Viva,639-925-0021,51686 Coleman Terrace,
234,Skibox,804-802-1151,661 Rigney Avenue,
235,Dynava,260-931-4407,72 Arapahoe Junction,
236,Brainlounge,543-288-3167,76416 Dryden Road,
237,Lajo,221-489-2995,62 Mifflin Street,
238,Oyondu,800-782-9897,428 2nd Terrace,
239,Meevee,399-304-0187,253 Thompson Hill,
240,Gigashots,560-547-8534,5625 Kropf Court,
241,Fivebridge,722-425-5491,3436 Morningstar Road,
242,Eadel,458-877-3389,,
243,Flashspan,733-992-7301,,
244,Flashdog,446-979-7058,,
245,Quimba,457-795-4085,652 Vernon Court,
246,Wikizz,818-242-2236,302 Village Hill,
247,Jatri,954-572-0593,,
248,Quimm,702-496-6080,621 Thackeray Park,
249,Browsebug,265-328-0310,2699 Fallview Point,
250,Flashset,430-840-4903,5 Fairview Pass,
251,Mybuzz,558-317-8794,39165 Coleman Terrace,
252,Abata,187-473-2925,91520 Harbort Street,
253,Zoomcast,927-751-2012,,
254,Ainyx,475-628-1848,7180 Aberg Hill,
255,Bubblebox,550-288-1421,53 Northview Parkway,
256,Twiyo,867-678-1934,,
257,Tazz,616-775-3243,993 Northfield Parkway,
258,Skiba,598-370-8384,8814 Brown Hill,
259,Devpoint,377-880-8202,83887 Spenser Park,
260,Eayo,627-513-5293,3710 Manufacturers Parkway,
261,Twitternation,764-914-8331,441 Columbus Avenue,
262,Skimia,923-156-2519,479 Mayer Alley,
263,Yombu,585-897-6012,,
264,Dablist,434-776-0957,3740 Rigney Hill,
265,Skimia,288-752-3400,93 Everett Drive,
266,Babbleblab,314-422-9657,,
267,Kare,365-247-4573,02 Ridgeview Court,
268,Jamia,119-383-4263,9 Linden Circle,
269,Tagpad,818-300-6638,59 Sachtjen Hill,
270,Meemm,808-840-5692,992 Dexter Street,
271,Edgeblab,404-516-5923,9589 Blaine Circle,
272,Edgetag,510-244-6826,9871 Havey Avenue,
273,Jabbercube,751-442-8526,5 Kinsman Way,
274,Vipe,201-176-6928,3164 Sugar Hill,
275,Voonix,134-285-3016,7493 Shopko Hill,
276,Ntags,573-443-5156,724 Texas Lane,
277,Zooxo,788-599-2182,02 Vernon Alley,
278,Photobug,687-215-7473,833 Lawn Alley,
279,Youopia,120-756-2924,,
280,Edgeblab,845-379-2728,55923 Reinke Drive,
281,Quatz,552-763-4107,323 Granby Parkway,
282,Thoughtworks,410-653-6895,24 Carioca Point,
283,Realpoint,183-245-8661,58 Sachs Alley,
284,Gigazoom,369-703-8396,5 Porter Way,
285,Skidoo,329-135-9458,932 Dunning Junction,
286,Eire,961-765-0599,7 Fairfield Circle,
287,LiveZ,831-600-5503,40 Ilene Hill,
288,Tagchat,569-620-6892,55 Bellgrove Park,
289,Twitterworks,216-344-9833,6851 Crowley Crossing,
290,Linkbuzz,742-393-8201,839 Kensington Avenue,
291,Jaxnation,854-329-2027,8159 Summit Parkway,
292,Kwideo,614-671-2985,87 Little Fleur Alley,
293,Babbleblab,867-459-6523,2 Heffernan Street,
294,Gevee,432-911-3907,94194 Lawn Park,
295,Jayo,984-297-3329,77 Iowa Drive,
296,Fliptune,542-109-3352,,
297,Kayveo,593-742-4173,7987 Del Mar Junction,
298,Brightbean,637-273-9760,4884 Granby Way,
299,Demimbu,628-740-9057,,
300,Twitterlist,898-234-1431,,
301,Fivebridge,393-571-9700,524 Riverside Alley,
302,Katz,479-816-0275,3 Thierer Parkway,
303,Dabshots,487-307-7463,692 Bellgrove Drive,
304,Fanoodle,164-967-3468,077 Mariners Cove Lane,
305,Muxo,939-613-5917,41856 Doe Crossing Avenue,
306,Browsedrive,564-148-4952,80 Northview Lane,
307,Abata,658-478-9041,57 Hooker Terrace,
308,Innotype,442-512-1041,,
309,Camido,581-143-6387,,
310,Zooveo,933-703-1374,1406 Gina Way,
311,Meeveo,183-592-3756,4 Moose Crossing,
312,Podcat,967-672-4895,988 Debra Terrace,
313,Mita,396-595-1494,34015 Grover Alley,
314,Youspan,729-391-9860,01781 Morrow Point,
315,Snaptags,868-552-1899,128 Manley Court,
316,Trilia,725-260-8262,5 Northfield Parkway,
317,Blogtags,501-658-4195,92207 Darwin Lane,
318,Camimbo,102-166-3466,53 Warrior Drive,
319,Oyoyo,166-608-2077,26 Haas Terrace,
320,Ntags,730-419-4787,3744 Dovetail Point,
321,Flipopia,370-312-4777,,
322,Ailane,101-640-1366,90 Northfield Lane,
323,Brainsphere,670-517-1383,,
324,Skyndu,713-528-4632,12 Randy Drive,
325,Mycat,463-854-6827,44 Algoma Circle,
326,Jetwire,196-233-3148,,
327,Riffpedia,458-585-2930,,
328,Edgepulse,782-801-7013,793 Farwell Road,
329,Katz,188-813-5152,,
330,Oba,826-604-2706,,
331,Pixoboo,682-177-5262,872 Green Ridge Crossing,
332,Rhynyx,998-532-5849,96217 Schurz Place,
333,Photobug,549-336-8856,798 Namekagon Park,
334,Jayo,609-142-6957,63192 Pepper Wood Drive,
335,Ntag,173-552-6844,5 Old Shore Trail,
336,Meezzy,111-438-5491,3978 Chinook Center,
337,Meezzy,804-564-7884,95 Bayside Parkway,
338,LiveZ,819-139-8502,97997 Helena Center,
339,Zazio,811-385-0983,,
340,Twitterlist,138-534-0299,97125 Blaine Street,
341,Gabcube,719-490-8818,6601 Cambridge Parkway,
342,Skimia,747-471-1513,86 East Crossing,
343,Ainyx,777-779-3037,4 Stuart Point,
344,Fliptune,632-672-2794,48 7th Center,
345,Linktype,631-787-1803,54 American Ash Hill,
346,Oloo,672-200-1059,242 Daystar Court,
347,Yombu,260-831-0761,92 Declaration Alley,
348,Zoomzone,745-175-3741,1573 Sloan Terrace,
349,Lajo,438-268-1291,,
350,Skilith,361-248-6706,5 1st Lane,
351,Skivee,306-626-5488,5 Fordem Lane,
352,Oyoloo,499-231-8003,85 Elka Center,
353,Mymm,291-509-6470,1037 Shelley Park,
354,Skipfire,877-296-1760,8848 Truax Crossing,
355,Yakitri,472-984-3719,,
356,Vidoo,554-450-8418,4377 Valley Edge Point,
357,Youspan,484-104-4604,8 Springview Circle,
358,Aimbu,129-939-6159,2 Tennessee Drive,
359,Rhyloo,764-781-7552,47319 Dixon Avenue,
360,Zoomcast,470-355-2123,,
361,Topiczoom,526-106-0621,80984 Hoepker Lane,
362,Devshare,610-917-5093,011 American Hill,
363,Tanoodle,153-109-0821,82809 Monica Plaza,
364,Gigabox,376-929-3829,76 Melby Pass,
365,Tekfly,719-112-9605,39551 La Follette Road,
366,Twimm,660-315-3601,,
367,Eimbee,201-997-2612,,
368,Tanoodle,641-878-0914,647 Petterle Circle,
369,Buzzshare,856-743-3346,,
370,Rhynoodle,833-911-1354,2625 Moose Way,
371,Gevee,211-824-4473,07 Shoshone Plaza,
372,Demivee,299-114-5286,5 Warbler Parkway,
373,Yakidoo,441-935-6532,8552 Prentice Junction,
374,Skyba,677-529-5391,1725 Fallview Way,
375,Brainbox,809-302-9062,55930 Rutledge Avenue,
376,Talane,899-510-2028,,
377,Livetube,601-434-9848,22362 Dryden Alley,
378,Abatz,827-580-6843,,
379,Gigashots,417-202-3576,6 Florence Alley,
380,Realbuzz,538-956-0008,1413 Oakridge Park,
381,Agivu,748-159-6003,27 Hayes Trail,
382,Cogidoo,785-517-3112,,
383,Fiveclub,125-643-7868,29 Anderson Center,
384,Kazio,855-535-0224,,
385,Zazio,811-113-4564,24678 Bartillon Circle,
386,Roombo,399-671-9106,2873 Shoshone Pass,
387,Photojam,555-683-6768,3 Esker Center,
388,Oyoyo,363-531-0964,9944 Sloan Plaza,
389,Buzzdog,257-710-1249,2448 Gina Parkway,
390,Avavee,437-924-9485,0 Schmedeman Pass,
391,Agivu,545-367-9292,88 Darwin Parkway,
392,Pixonyx,600-680-9586,95178 Bunker Hill Plaza,
393,Voonte,895-676-1912,,
394,Gigabox,560-256-0287,,
395,Twinte,640-788-3183,64515 Surrey Parkway,
396,Geba,530-895-6357,8107 Bonner Plaza,
397,Browseblab,987-847-9454,856 Dixon Crossing,
398,Meevee,730-952-0500,073 Alpine Avenue,
399,Blogtags,940-786-2804,0830 Northwestern Circle,
400,Dablist,669-297-2948,46 Gina Drive,
401,Topicshots,727-660-0301,8577 Lotheville Terrace,
402,Divavu,688-179-7900,1333 Derek Road,
403,Devpoint,906-827-5155,1 Hansons Junction,
404,Fivespan,279-909-6185,6 Prentice Way,
405,Viva,217-507-2403,8377 Monterey Center,
406,Fivechat,750-605-0637,1297 Stone Corner Crossing,
407,Devcast,772-998-7746,05759 Elgar Avenue,
408,Buzzdog,269-108-3514,,
409,Dabvine,195-605-3290,06910 Basil Pass,
410,Yodoo,362-937-4135,5 Eastwood Plaza,
411,Reallinks,998-332-9348,48 Darwin Point,
412,Kwideo,166-485-2285,9771 Morning Junction,
413,Wikibox,672-885-7459,3796 Sherman Way,
414,Dabjam,376-526-2514,,
415,Trudoo,513-177-2584,25 Ruskin Place,
416,Muxo,456-679-3888,805 Elka Trail,
417,Latz,226-614-8446,5092 Swallow Lane,
418,Feedfish,844-913-2161,6136 Bartelt Place,
419,Skynoodle,776-564-7045,,
420,Flipbug,451-528-0273,,
421,Kayveo,469-186-4452,0 Northport Park,
422,Leenti,653-234-5020,8412 International Plaza,
423,Jabberstorm,700-774-3540,1034 Northfield Way,
424,DabZ,864-630-3701,59 Tony Parkway,
425,Bluezoom,320-712-4495,19872 Crest Line Crossing,
426,Devpoint,554-456-2069,6 Scott Parkway,
427,Yodel,549-551-8828,05407 Chive Plaza,
428,Youspan,311-296-9635,74736 La Follette Center,
429,Edgetag,827-762-3095,7562 Hayes Center,
430,Yodo,464-756-7195,1038 Derek Park,
431,Bubbletube,192-525-6544,,
432,Skippad,947-827-6604,6502 Sage Park,
433,Zazio,127-645-3094,89 Vahlen Place,
434,Blognation,204-391-5350,65 Petterle Way,
435,Podcat,612-945-1865,7 Clarendon Way,
436,Wikibox,487-918-8920,,
437,Oba,154-746-2287,88 Nevada Park,
438,Fatz,468-745-8704,238 Chive Center,
439,Buzzbean,763-946-1523,3074 Clyde Gallagher Court,
440,Realfire,206-948-4102,97004 Fair Oaks Park,
441,Youspan,659-738-1956,789 Ridgeview Plaza,
442,Divavu,346-515-4261,0281 Artisan Place,
443,Youbridge,845-139-2343,,
444,Shuffletag,738-902-4699,0236 Brown Street,
445,Flashdog,823-771-4833,993 Columbus Way,
446,Gabtype,206-631-7572,0 Kensington Way,
447,Mycat,629-263-7649,96041 Briar Crest Way,
448,Bluejam,122-735-6190,68 Anniversary Street,
449,Flashspan,521-874-7088,30 Loeprich Place,
450,Skippad,658-283-3999,9635 Kings Street,
451,Buzzdog,552-572-0597,928 Northwestern Alley,
452,Gabtype,558-401-1511,2 Marquette Circle,
453,Voolith,669-840-3337,16 Ronald Regan Parkway,
454,Tekfly,806-170-2748,58 Anthes Trail,
455,Katz,895-847-2488,525 Sheridan Drive,
456,Shuffletag,117-757-1496,,
457,Kwilith,881-254-2994,8547 Prairieview Road,
458,Wikizz,499-819-5993,57 Sherman Terrace,
459,Bluejam,414-427-2680,,
460,Kaymbo,189-685-1382,488 Lukken Alley,
461,Yakijo,408-997-0074,114 Lerdahl Pass,
462,Digitube,841-788-3037,62 Prentice Road,
463,Rhyloo,536-710-6075,47 Warrior Way,
464,Bluezoom,318-866-8634,52338 Morning Lane,
465,Dabshots,159-873-8847,0861 Union Court,
466,Chatterbridge,407-290-4693,6 Carberry Place,
467,Oodoo,381-145-7098,74 Aberg Lane,
468,Roomm,243-212-6288,627 Fairfield Drive,
469,Trupe,198-115-3159,28 Oak Valley Hill,
470,Camido,282-263-1979,17 Burrows Alley,
471,Twitterworks,109-148-2168,45555 Judy Road,
472,Skipfire,635-932-7901,7571 Dwight Plaza,
473,Skipstorm,710-714-7621,,
474,Eire,520-959-2381,4447 Grasskamp Alley,
475,Yodel,766-765-9151,08 Golf Course Road,
476,Quinu,331-542-8206,11 Almo Trail,
477,Roomm,978-212-2606,21585 Maple Way,
478,Kazio,413-820-0653,9822 Clove Center,
479,Chatterpoint,142-262-0435,3 Maryland Junction,
480,Thoughtmix,701-722-8715,625 Cherokee Drive,
481,Reallinks,623-950-5012,,
482,Twitterworks,593-275-7133,,
483,Viva,943-999-6343,,
484,Einti,451-851-6817,8755 Mcbride Crossing,
485,Eare,510-576-6531,131 Shelley Alley,
486,Skaboo,200-682-6793,95 Sloan Terrace,
487,Zooxo,976-375-0742,1 Mayer Crossing,
488,Topdrive,633-476-6595,,
489,Thoughtbeat,937-730-9130,54 Harper Court,
490,BlogXS,837-128-3963,790 4th Park,
491,Ailane,579-146-7947,57341 Gateway Trail,
492,Roomm,716-299-9163,175 Maple Wood Parkway,
493,Jayo,705-836-8577,,
494,Oyoba,903-661-8055,95463 Rockefeller Trail,
495,Youfeed,584-877-6913,,
496,Youopia,590-466-0132,95 Boyd Terrace,
497,Aivee,163-623-2722,706 Mandrake Pass,
498,Voolia,139-185-1165,3345 Northport Lane,
499,Demivee,132-246-0972,91214 Moose Center,
500,Trudoo,419-598-4880,5 Dapin Avenue,
